"Date","Company","Close","MA7","MA30","Tariff_Period"
2025-03-05,"GSMI",296.0115,293.974928571429,278.125426666667,"After"
2025-03-05,"MONDE",7.36,7.53571428571429,7.55733333333333,"After"
2025-03-06,"JFC",252,257.885714285714,248.133333333333,"After"
2025-03-06,"URC",72.05,68.9642857142857,65.6633333333333,"After"
2025-03-06,"CNPF",41,40.0571428571429,39.87,"After"
2025-03-06,"GSMI",301.5556,294.682085714286,279.102233333333,"After"
2025-03-06,"MONDE",7.39,7.46285714285714,7.56366666666667,"After"
2025-03-07,"JFC",252.8,255.714285714286,248.273333333333,"After"
2025-03-07,"URC",71.8,69.0785714285714,65.825,"After"
2025-03-07,"CNPF",40.8,40.3642857142857,39.8,"After"
2025-03-07,"GSMI",304.9216,296.096385714286,280.19124,"After"
2025-03-07,"MONDE",7.77,7.44714285714286,7.58033333333333,"After"
2025-03-10,"JFC",264,255.428571428571,248.82,"After"
2025-03-10,"URC",75,70.05,66.095,"After"
2025-03-10,"CNPF",41,40.65,39.7766666666667,"After"
2025-03-10,"GSMI",302.5456,296.944971428571,281.234046666667,"After"
2025-03-10,"MONDE",7.45,7.37,7.595,"After"
2025-03-11,"JFC",264,256.4,249.68,"After"
2025-03-11,"URC",71.75,70.8428571428571,66.3033333333333,"After"
2025-03-11,"CNPF",41,40.7357142857143,39.7933333333333,"After"
2025-03-11,"GSMI",300.9615,297.821828571429,282.22405,"After"
2025-03-11,"MONDE",7.11,7.30714285714286,7.605,"After"
2025-03-12,"JFC",260,256.685714285714,250.28,"After"
2025-03-12,"URC",72,71.6714285714286,66.5433333333333,"After"
2025-03-12,"CNPF",40.2,40.7,39.805,"After"
2025-03-12,"GSMI",299.9715,300.367542857143,283.194253333333,"After"
2025-03-12,"MONDE",7.15,7.32714285714286,7.61033333333333,"After"
2025-03-13,"JFC",257.2,257.428571428571,250.966666666667,"After"
2025-03-13,"URC",70,71.9571428571429,66.7316666666667,"After"
2025-03-13,"CNPF",39.2,40.5714285714286,39.75,"After"
2025-03-13,"GSMI",299.9715,300.8484,284.217256666667,"After"
2025-03-13,"MONDE",7.27,7.35714285714286,7.62266666666667,"After"
2025-03-14,"JFC",260,258.571428571429,252.233333333333,"After"
2025-03-14,"URC",71.5,72.0142857142857,67.0883333333333,"After"
2025-03-14,"CNPF",39.85,40.4357142857143,39.8566666666667,"After"
2025-03-14,"GSMI",300.9615,301.555542857143,285.26006,"After"
2025-03-14,"MONDE",7.2,7.33428571428571,7.641,"After"
2025-03-17,"JFC",258,259.428571428571,253.3,"After"
2025-03-17,"URC",72.3,72.05,67.5683333333333,"After"
2025-03-17,"CNPF",39,40.15,39.8066666666667,"After"
2025-03-17,"GSMI",300.9615,301.470671428571,286.302863333333,"After"
2025-03-17,"MONDE",7.02,7.28142857142857,7.64833333333333,"After"
2025-03-18,"JFC",251.8,259.285714285714,253.86,"After"
2025-03-18,"URC",74.3,72.4071428571429,68.1133333333333,"After"
2025-03-18,"CNPF",39,39.8928571428571,39.715,"After"
2025-03-18,"GSMI",300.9615,300.904942857143,287.345666666667,"After"
2025-03-18,"MONDE",7.04,7.17714285714286,7.643,"After"
2025-03-19,"JFC",250.2,257.314285714286,254.046666666667,"After"
2025-03-19,"URC",75.9,72.5357142857143,68.5883333333333,"After"
2025-03-19,"CNPF",40,39.75,39.665,"After"
2025-03-19,"GSMI",302.4526,300.891657142857,288.385373333333,"After"
2025-03-19,"MONDE",7.04,7.11857142857143,7.61833333333333,"After"
2025-03-20,"JFC",248,255.028571428571,254.213333333333,"After"
2025-03-20,"URC",76,73.1428571428571,69.0383333333333,"After"
2025-03-20,"CNPF",40.2,39.6357142857143,39.64,"After"
2025-03-20,"GSMI",302.2537,301.076257142857,289.39865,"After"
2025-03-20,"MONDE",7.3,7.14571428571429,7.60266666666667,"After"
2025-03-21,"JFC",238,251.885714285714,254.273333333333,"After"
2025-03-21,"URC",76.5,73.7857142857143,69.5016666666667,"After"
2025-03-21,"CNPF",40.9,39.7357142857143,39.6766666666667,"After"
2025-03-21,"GSMI",299.4679,301.004314285714,290.140866666667,"After"
2025-03-21,"MONDE",7.51,7.19714285714286,7.59966666666667,"After"
2025-03-24,"JFC",240,249.428571428571,254.52,"After"
2025-03-24,"URC",75,74.5,69.9016666666667,"After"
2025-03-24,"CNPF",39.4,39.7642857142857,39.6566666666667,"After"
2025-03-24,"GSMI",300.4628,301.0745,290.949246666667,"After"
2025-03-24,"MONDE",7.48,7.22714285714286,7.59666666666667,"After"
2025-03-25,"JFC",232.8,245.542857142857,254.413333333333,"After"
2025-03-25,"URC",76.45,75.2071428571429,70.3866666666667,"After"
2025-03-25,"CNPF",39.05,39.65,39.6666666666667,"After"
2025-03-25,"GSMI",298.473,300.719,291.6649,"After"
2025-03-25,"MONDE",7.3,7.24142857142857,7.58833333333333,"After"
2025-03-26,"JFC",233.6,242.057142857143,254.3,"After"
2025-03-26,"URC",73.7,75.4071428571429,70.8033333333333,"After"
2025-03-26,"CNPF",39.05,39.6571428571429,39.635,"After"
2025-03-26,"GSMI",297.4781,300.221371428571,292.34079,"After"
2025-03-26,"MONDE",7.18,7.26428571428571,7.561,"After"
2025-03-27,"JFC",233,239.371428571429,253.32,"After"
2025-03-27,"URC",72.2,75.1071428571429,71.15,"After"
2025-03-27,"CNPF",38,39.5142857142857,39.6016666666667,"After"
2025-03-27,"GSMI",297.2791,299.695314285714,293.142046666667,"After"
2025-03-27,"MONDE",7.01,7.26,7.528,"After"
2025-03-28,"JFC",233.4,236.971428571429,252.46,"After"
2025-03-28,"URC",71,74.4071428571429,71.4183333333333,"After"
2025-03-28,"CNPF",37.6,39.1714285714286,39.5616666666667,"After"
2025-03-28,"GSMI",299.2689,299.2405,294.01623,"After"
2025-03-28,"MONDE",7,7.25428571428571,7.498,"After"
2025-03-31,"JFC",240,235.828571428571,252.026666666667,"After"
2025-03-31,"URC",70,73.55,71.62,"After"
2025-03-31,"CNPF",36.55,38.65,39.52,"After"
2025-03-31,"GSMI",296.4832,298.416142857143,294.889956666667,"After"
2025-03-31,"MONDE",7.23,7.24428571428571,7.46733333333333,"After"
2025-04-02,"JFC",231.2,234.857142857143,251.166666666667,"After"
2025-04-02,"URC",70.15,72.6428571428572,71.7333333333333,"After"
2025-04-02,"CNPF",35.7,37.9071428571429,39.4266666666667,"After"
2025-04-02,"GSMI",296.2842,297.961328571429,295.72405,"After"
2025-04-02,"MONDE",7.57,7.25285714285714,7.438,"After"
2025-04-03,"JFC",224,232.571428571429,250.226666666667,"After"
2025-04-03,"URC",69.35,71.8357142857143,71.6616666666667,"After"
2025-04-03,"CNPF",34.15,37.1571428571429,39.2516666666667,"After"
2025-04-03,"GSMI",290.5137,296.540028571429,296.339393333333,"After"
2025-04-03,"MONDE",7.35,7.23428571428571,7.40233333333333,"After"
2025-04-04,"JFC",224.2,231.342857142857,249.1,"After"
2025-04-04,"URC",69.9,70.9,71.635,"After"
2025-04-04,"CNPF",34.25,36.4714285714286,39.08,"After"
2025-04-04,"GSMI",293.4985,295.829385714286,296.92223,"After"
2025-04-04,"MONDE",7.19,7.21857142857143,7.37866666666667,"After"
2025-04-07,"JFC",203,226.971428571429,247.246666666667,"After"
2025-04-07,"URC",67,69.9428571428572,71.3866666666667,"After"
2025-04-07,"CNPF",32,35.4642857142857,38.8533333333333,"After"
2025-04-07,"GSMI",290.5137,294.834471428571,297.20757,"After"
2025-04-07,"MONDE",6.7,7.15,7.33366666666667,"After"
2025-04-08,"JFC",217.2,224.714285714286,246.02,"After"
2025-04-08,"URC",67.3,69.2428571428571,71.295,"After"
2025-04-08,"CNPF",34.9,35.0214285714286,38.7233333333333,"After"
2025-04-08,"GSMI",290.5137,293.867985714286,297.519313333333,"After"
2025-04-08,"MONDE",6.99,7.14714285714286,7.3,"After"
2025-04-10,"JFC",214.8,222.057142857143,244.546666666667,"After"
2025-04-10,"URC",70.85,69.2214285714286,71.4233333333333,"After"
2025-04-10,"CNPF",34.7,34.6071428571429,38.5633333333333,"After"
2025-04-10,"GSMI",288.5239,292.332985714286,297.249926666667,"After"
2025-04-10,"MONDE",7.35,7.19714285714286,7.28166666666667,"After"
2025-04-11,"JFC",216,218.628571428571,242.813333333333,"After"
2025-04-11,"URC",71.9,69.4928571428571,71.4533333333333,"After"
2025-04-11,"CNPF",35.05,34.3928571428571,38.4433333333333,"After"
2025-04-11,"GSMI",288.5239,291.195942857143,297.03334,"After"
2025-04-11,"MONDE",7.05,7.17142857142857,7.254,"After"
2025-04-14,"JFC",220.2,217.057142857143,241.286666666667,"After"
2025-04-14,"URC",71,69.6142857142857,71.5466666666667,"After"
2025-04-14,"CNPF",36.8,34.55,38.37,"After"
2025-04-14,"GSMI",288.5239,290.087328571429,296.763953333333,"After"
2025-04-14,"MONDE",7.15,7.11142857142857,7.226,"After"
2025-04-15,"JFC",230.6,218,240.4,"After"
2025-04-15,"URC",69.7,69.6642857142857,71.6633333333333,"After"
2025-04-15,"CNPF",36.05,34.8214285714286,38.225,"After"
2025-04-15,"GSMI",288.5239,289.803071428571,296.553966666667,"After"
2025-04-15,"MONDE",7.02,7.06428571428571,7.20833333333333,"After"
2025-04-16,"JFC",234,219.4,239.6,"After"
2025-04-16,"URC",71,69.8214285714286,71.8233333333333,"After"
2025-04-16,"CNPF",35.45,34.9928571428571,38.0583333333333,"After"
2025-04-16,"GSMI",288.5239,289.092414285714,296.76638,"After"
2025-04-16,"MONDE",7,7.03714285714286,7.208,"After"
2025-04-21,"JFC",233.8,223.8,238.993333333333,"After"
2025-04-21,"URC",69.05,70.1142857142857,71.8583333333333,"After"
2025-04-21,"CNPF",36,35.5642857142857,37.9216666666667,"After"
2025-04-21,"GSMI",288.5239,288.808157142857,296.496993333333,"After"
2025-04-21,"MONDE",7.05,7.08714285714286,7.20766666666667,"After"
2025-04-22,"JFC",226.4,225.114285714286,238.14,"After"
2025-04-22,"URC",71,70.6428571428571,71.855,"After"
2025-04-22,"CNPF",36,35.7214285714286,37.7616666666667,"After"
2025-04-22,"GSMI",287.529,288.381771428571,296.214243333333,"After"
2025-04-22,"MONDE",7.09,7.10142857142857,7.19866666666667,"After"
2025-04-23,"JFC",220.2,225.885714285714,237.08,"After"
2025-04-23,"URC",71.5,70.7357142857143,71.8366666666667,"After"
2025-04-23,"CNPF",36,35.9071428571429,37.595,"After"
2025-04-23,"GSMI",284.7432,287.841671428571,295.65383,"After"
2025-04-23,"MONDE",7.12,7.06857142857143,7.18966666666667,"After"
2025-04-24,"JFC",223.2,226.914285714286,236.093333333333,"After"
2025-04-24,"URC",75.4,71.2357142857143,71.9566666666667,"After"
2025-04-24,"CNPF",37,36.1857142857143,37.4683333333333,"After"
2025-04-24,"GSMI",284.5443,287.273157142857,294.974586666667,"After"
2025-04-24,"MONDE",7.11,7.07714285714286,7.16766666666667,"After"
2025-04-25,"JFC",225,227.6,234.793333333333,"After"
2025-04-25,"URC",81.25,72.7,72.165,"After"
2025-04-25,"CNPF",39,36.5,37.4016666666667,"After"
2025-04-25,"GSMI",288.3249,287.244728571429,294.500563333333,"After"
2025-04-25,"MONDE",7.45,7.12,7.16766666666667,"After"
2025-04-28,"JFC",223.6,226.6,233.446666666667,"After"
2025-04-28,"URC",80.5,74.2428571428571,72.4566666666667,"After"
2025-04-28,"CNPF",39,36.9214285714286,37.335,"After"
2025-04-28,"GSMI",288.3249,287.2163,294.079343333333,"After"
2025-04-28,"MONDE",7.2,7.14571428571429,7.17066666666667,"After"
2025-04-29,"JFC",224,225.171428571429,232.246666666667,"After"
2025-04-29,"URC",84.7,76.2,72.88,"After"
2025-04-29,"CNPF",39,37.4285714285714,37.295,"After"
2025-04-29,"GSMI",283.7483,286.534071428571,293.53857,"After"
2025-04-29,"MONDE",7.5,7.21714285714286,7.18233333333333,"After"
2025-04-30,"JFC",228.8,224.457142857143,231.3,"After"
2025-04-30,"URC",82.75,78.1571428571429,73.305,"After"
2025-04-30,"CNPF",38.15,37.7357142857143,37.26,"After"
2025-04-30,"GSMI",284.5443,285.965557142857,293.02433,"After"
2025-04-30,"MONDE",7.78,7.32142857142857,7.19933333333333,"After"
2025-05-02,"JFC",226.6,224.485714285714,230.186666666667,"After"
2025-05-02,"URC",84,80.0142857142857,73.7216666666667,"After"
2025-05-02,"CNPF",37.95,38.0142857142857,37.1966666666667,"After"
2025-05-02,"GSMI",288.1259,286.050828571429,292.596476666667,"After"
2025-05-02,"MONDE",7.8,7.42285714285714,7.21933333333333,"After"
2025-05-05,"JFC",227.4,225.514285714286,229.166666666667,"After"
2025-05-05,"URC",85.65,82.0357142857143,74.1666666666667,"After"
2025-05-05,"CNPF",38.9,38.4285714285714,37.1933333333333,"After"
2025-05-05,"GSMI",288.5239,286.590928571429,292.18189,"After"
2025-05-05,"MONDE",7.64,7.49714285714286,7.24,"After"
2025-05-06,"JFC",229,226.342857142857,228.406666666667,"After"
2025-05-06,"URC",86.2,83.5785714285714,74.5633333333333,"After"
2025-05-06,"CNPF",39,38.7142857142857,37.1933333333333,"After"
2025-05-06,"GSMI",288.5239,287.159442857143,291.767303333333,"After"
2025-05-06,"MONDE",7.66,7.57571428571429,7.26066666666667,"After"
2025-05-07,"JFC",235,227.771428571429,227.9,"After"
2025-05-07,"URC",86.9,84.3857142857143,74.93,"After"
2025-05-07,"CNPF",39.5,38.7857142857143,37.1766666666667,"After"
2025-05-07,"GSMI",287.529,287.045742857143,291.26985,"After"
2025-05-07,"MONDE",8.04,7.66,7.294,"After"
2025-05-08,"JFC",231.4,228.885714285714,227.346666666667,"After"
2025-05-08,"URC",85.4,85.0857142857143,75.2433333333333,"After"
2025-05-08,"CNPF",40,38.9285714285714,37.17,"After"
2025-05-08,"GSMI",293.1005,287.727971428571,290.964743333333,"After"
2025-05-08,"MONDE",7.9,7.76,7.314,"After"
2025-05-09,"JFC",235,230.457142857143,227.246666666667,"After"
2025-05-09,"URC",91.5,86.0571428571429,75.7433333333333,"After"
2025-05-09,"CNPF",40,39.0714285714286,37.14,"After"
2025-05-09,"GSMI",293.2995,289.092428571429,290.75913,"After"
2025-05-09,"MONDE",8.12,7.84857142857143,7.33433333333333,"After"
2025-05-13,"JFC",233,231.057142857143,227.013333333333,"After"
2025-05-13,"URC",93,87.5214285714286,76.3433333333333,"After"
2025-05-13,"CNPF",42,39.6214285714286,37.2266666666667,"After"
2025-05-13,"GSMI",290.5137,289.9452,290.427493333333,"After"
2025-05-13,"MONDE",7.9,7.86571428571429,7.34833333333333,"After"
2025-05-14,"JFC",243.2,233.428571428571,227.36,"After"
2025-05-14,"URC",91.95,88.6571428571429,76.86,"After"
2025-05-14,"CNPF",41.75,40.1642857142857,37.3166666666667,"After"
2025-05-14,"GSMI",290.1158,290.229471428571,290.14892,"After"
2025-05-14,"MONDE",7.13,7.77,7.34266666666667,"After"
2025-05-15,"JFC",245,235.942857142857,227.74,"After"
2025-05-15,"URC",91.95,89.5571428571429,77.4683333333333,"After"
2025-05-15,"CNPF",40.2,40.35,37.355,"After"
2025-05-15,"GSMI",293.4985,290.940128571429,290.016266666667,"After"
2025-05-15,"MONDE",7.07,7.68857142857143,7.339,"After"
2025-05-16,"JFC",245,238.228571428571,228.14,"After"
2025-05-16,"URC",91,90.2428571428571,78.095,"After"
2025-05-16,"CNPF",40.6,40.5785714285714,37.4416666666667,"After"
2025-05-16,"GSMI",293.4985,291.650785714286,289.890246666667,"After"
2025-05-16,"MONDE",7.05,7.60142857142857,7.34033333333333,"After"
2025-05-19,"JFC",240,238.942857142857,228.36,"After"
2025-05-19,"URC",91,90.8285714285714,78.7616666666667,"After"
2025-05-19,"CNPF",40,40.65,37.5216666666667,"After"
2025-05-19,"GSMI",295,292.718071428571,289.74795,"After"
2025-05-19,"MONDE",7.11,7.46857142857143,7.344,"After"
2025-05-20,"JFC",242,240.457142857143,228.426666666667,"After"
2025-05-20,"URC",90,91.4857142857143,79.4283333333333,"After"
2025-05-20,"CNPF",39.65,40.6,37.625,"After"
2025-05-20,"GSMI",295,292.989428571429,289.69851,"After"
2025-05-20,"MONDE",7.08,7.35142857142857,7.339,"After"
2025-05-21,"JFC",243,241.6,228.82,"After"
2025-05-21,"URC",86.6,90.7857142857143,79.9766666666667,"After"
2025-05-21,"CNPF",39.75,40.5642857142857,37.76,"After"
2025-05-21,"GSMI",290,292.518071428571,289.489036666667,"After"
2025-05-21,"MONDE",7.05,7.19857142857143,7.32166666666667,"After"
2025-05-22,"JFC",239,242.457142857143,229.32,"After"
2025-05-22,"URC",83.5,89.4285714285714,80.4483333333333,"After"
2025-05-22,"CNPF",40,40.2785714285714,37.955,"After"
2025-05-22,"GSMI",293,292.873257142857,289.571913333333,"After"
2025-05-22,"MONDE",6.94,7.06142857142857,7.308,"After"
2025-05-23,"JFC",242.8,242.4,229.94,"After"
2025-05-23,"URC",84.1,88.3071428571428,80.9216666666667,"After"
2025-05-23,"CNPF",40.05,40.0357142857143,38.1483333333333,"After"
2025-05-23,"GSMI",295,293.571,289.621963333333,"After"
2025-05-23,"MONDE",6.72,7.00285714285714,7.29233333333333,"After"
2025-05-26,"JFC",241,241.828571428571,231.206666666667,"After"
2025-05-26,"URC",86,87.4571428571429,81.555,"After"
2025-05-26,"CNPF",40.4,40.0642857142857,38.4283333333333,"After"
2025-05-26,"GSMI",295,293.7855,289.771506666667,"After"
2025-05-26,"MONDE",6.68,6.94714285714286,7.29166666666667,"After"
2025-05-27,"JFC",240.2,241.142857142857,231.973333333333,"After"
2025-05-27,"URC",85,86.6,82.145,"After"
2025-05-27,"CNPF",41,40.1214285714286,38.6316666666667,"After"
2025-05-27,"GSMI",295,294,289.92105,"After"
2025-05-27,"MONDE",6.6,6.88285714285714,7.27866666666667,"After"
2025-05-28,"JFC",238.6,240.942857142857,232.766666666667,"After"
2025-05-28,"URC",86,85.8857142857143,82.65,"After"
2025-05-28,"CNPF",39.45,40.0428571428571,38.79,"After"
2025-05-28,"GSMI",295,294,290.13692,"After"
2025-05-28,"MONDE",6.73,6.82857142857143,7.258,"After"
2025-05-29,"JFC",238.4,240.428571428571,233.513333333333,"After"
2025-05-29,"URC",86.75,85.4214285714286,83.145,"After"
2025-05-29,"CNPF",40,40.0928571428571,38.955,"After"
2025-05-29,"GSMI",293.6,293.8,290.306123333333,"After"
2025-05-29,"MONDE",7,6.81714285714286,7.25633333333333,"After"
2025-05-30,"JFC",223,237.571428571429,233.606666666667,"After"
2025-05-30,"URC",84.5,85.1214285714286,83.595,"After"
2025-05-30,"CNPF",39.95,40.1214285714286,39.06,"After"
2025-05-30,"GSMI",294,294.371428571429,290.48866,"After"
2025-05-30,"MONDE",7.6,6.89571428571429,7.27133333333333,"After"
